Episode,Score,Best,Total reward,End position
160,17.7860100309,21.3216459145,1494.02484259,"[ -1.80078099e-02   9.01743987e+00   8.20636022e+01   2.45167680e-01
   4.40181305e-04   0.00000000e+00]"
161,17.7406881313,21.3216459145,1490.21780303,"[ -2.43780776e-02  -1.91526550e+01   7.96232967e+01   5.63774886e+00
   9.61092843e-04   0.00000000e+00]"
162,17.7839014983,21.3216459145,1493.84772585,"[ -5.54908692e-02   8.77680859e+00   8.23840101e+01   2.93948645e-01
   1.53280684e-03   0.00000000e+00]"
163,17.3713420315,21.3216459145,1459.19273064,"[ -3.98085420e-03   4.37189112e+01   6.47493697e+01   1.10166669e+00
   6.28289893e+00   0.00000000e+00]"
164,17.3210347322,21.3216459145,1454.9669175,"[  5.40866688e-03  -4.45937832e+01   5.94544949e+01   4.29844076e+00
   6.28296475e+00   0.00000000e+00]"
165,17.7997422213,21.3216459145,1495.17834659,"[ -2.54841299e-03  -8.78342931e-01   8.33206018e+01   5.85141709e-01
   6.28302825e+00   0.00000000e+00]"
166,17.5823914125,21.3216459145,1476.92087865,"[ -1.60916939e-02   3.19984360e+01   7.63525618e+01   2.79139040e-01
   5.98756910e-04   0.00000000e+00]"
167,17.6008140441,21.3216459145,1478.4683797,"[ -5.08724631e-03  -3.24703213e+01   7.36781078e+01   5.53061214e+00
   6.28263513e+00   0.00000000e+00]"
168,16.7894220253,21.3216459145,1410.31145013,"[  4.06762920e-03   5.59490731e+01   4.98043648e+01   1.86807707e+00
   6.28317383e+00   0.00000000e+00]"
169,17.7100562296,21.3216459145,1487.64472329,"[  3.14255487e-03  -2.41758263e+01   7.60500050e+01   5.18586385e+00
   6.28295757e+00   0.00000000e+00]"
170,17.6369706123,21.3216459145,1481.50553143,"[ -4.16319010e-03   2.93180977e+01   7.61953410e+01   7.85780558e-01
   3.13661834e-04   0.00000000e+00]"
171,17.7814492068,21.3216459145,1493.64173337,"[ -1.55579836e-02  -1.14960815e+01   8.17360237e+01   5.61458101e+00
   4.37735601e-04   0.00000000e+00]"
